estado,municipio,cve_inegi,id_estado,id_municipio,superficie,municipios,localidades,cabecera,longitud,latitud,altitud,pob_cabecera,pob_cabecera_h,pob_cabecera_m,total,hombres,mujeres,p3ymas,p3ymas_h,p3ymas_m,p5ymas,p5ymas_h,p5ymas_m,p0_2,p0_2_h,p0_2_m,p3_5,p3_5_h,p3_5_m,p6_14,p6_14_h,p6_14_m,p8_14,p8_14_h,p8_14_m,p15_17,p15_17_h,p15_17_m,p18_24,p18_24_h,p18_24_m,p25_29,p25_29_h,p25_29_m,p25_59,p25_59_h,p25_59_m,p60ymas,p60ymas_h,p60ymas_m,p12ymas,p12ymas_h,p12ymas_m,p15ymas,p15ymas_h,p15ymas_m,p18ymas,p18ymas_h,p18ymas_m,p30ymas,p30ymas_h,p30ymas_m,loc1_249,loc250_499,loc500_999,loc1K_2499,loc2K5_4999,loc5K_9999,loc10K_14999,loc15K_29999,loc30K_49999,loc50K_99999,loc100K_249999,loc250K_499999,loc500K_999999,locmayor1M,tipo_municipio,p3ymas_li,p3ymas_li_h,p3ymas_li_m,p3ymas_li_esp,p3ymas_li_esp_h,p3ymas_li_esp_m,p3ymas_li_noesp,p3ymas_li_noesp_h,p3ymas_li_noesp_m,p3ymas_li_esp_noespecif,p3ymas_li_esp_noespecif_h,p3ymas_li_esp_noespecif_m,p3ymas_no_li,p3ymas_no_li_h,p3ymas_no_li_m,p3ymas_li_noespecif,p3ymas_li_noespecif_h,p3ymas_li_noespecif_m,id_lengua1,id_lengua2,hab_lengua1,hab_lengua2,p_catolica,p_nocatolica,p_otrareligion,p_sinreligion,lengua1,lengua2
Estados Unidos Mexicanos,Total Nacional,0,0,0,1963716.54,2456,192244,,,,0,0,0,0,112336538,54855231,57481307,104781265,51022388,53758877,100410810,48808069,51602741,6157867,3132624,3025243,6535234,3316316,3218918,19822695,10049791,9772904,15443365,7831926,7611439,6710948,3376448,3334500,14207435,6956877,7250558,8788177,4205975,4582202,47449574,22643418,24806156,10055379,4679538,5375841,84927468,40947872,43979596,78423336,37656281,40767055,71712388,34279833,37432555,48716776,23116981,25599795,5743745,4820906,6507589,8976888,6360949,6081738,3664946,6407065,4182386,5891954,8632712,13873211,16363103,14829346,MI,6913362,3397199,3516163,5562979,2849099,2713880,1096512,422143,674369,253871,125957,127914,97250211,47317314,49932897,617692,307875,309817,102,72,1586884,796405,92924489,10924103,172891,5262546,Náhuatl,Maya
Aguascalientes,Total del estado Aguascalientes,1000,1,0,5615.67,11,1989,,,,0,0,0,0,1184996,576638,608358,1109480,538279,571201,1059407,512713,546694,71484,36375,35109,75453,38521,36932,227300,115232,112068,176175,89301,86874,74156,37189,36967,153577,74878,78699,93604,44568,49036,489389,231296,258093,89605,41163,48442,879679,421255,458424,806727,384526,422201,732571,347337,385234,485390,227891,257499,39783,32240,56068,99316,70769,17482,11589,92487,43012,0,0,0,722250,0,UG,2493,1453,1040,1223,741,482,5,3,2,1265,709,556,1103850,535248,568602,3137,1578,1559,114,102,1214,391,1101785,51766,835,21235,Lengua Indígena No Especificada,Náhuatl
Aguascalientes,Aguascalientes,1001,1,1,1178.14,0,589,Aguascalientes,1021746,215251,1885,722250,348722,373528,797010,386429,410581,748891,361991,386900,717057,345696,371361,44873,22835,22038,47951,24520,23431,145369,73730,71639,112820,57191,55629,47860,23913,23947,103604,51067,52537,64511,31044,33467,342822,161513,181309,61285,27248,34037,602719,287466,315253,555571,263741,291830,507711,239828,267883,339596,157717,181879,13552,8379,8974,25425,13261,5169,0,0,0,0,0,0,722250,0,UG,1790,1032,758,939,563,376,4,2,2,847,467,380,745240,360028,385212,1861,931,930,114,102,816,310,731800,40707,709,17073,Lengua Indígena No Especificada,Náhuatl
Aguascalientes,Asientos,1002,1,2,547.73,0,168,Asientos,1020520,221423,2155,4517,2221,2296,45492,22512,22980,42253,20911,21342,40174,19842,20332,3206,1585,1621,3175,1636,1539,9828,5047,4781,7617,3902,3715,3129,1594,1535,6135,2914,3221,3323,1557,1766,16383,7907,8476,3603,1813,1790,32320,15789,16531,29250,14228,15022,26121,12634,13487,16663,8163,8500,2760,4476,13398,12105,12753,0,0,0,0,0,0,0,0,0,RU,47,32,15,8,6,2,0,0,0,39,26,13,42021,20791,21230,185,88,97,114,102,40,4,43535,1244,1,415,Lengua Indígena No Especificada,Náhuatl
Aguascalientes,Calvillo,1003,1,3,932.74,0,155,Calvillo,1024307,215049,1640,19742,9509,10233,54136,26250,27886,50649,24475,26174,48273,23253,25020,3433,1750,1683,3561,1825,1736,10806,5550,5256,8499,4375,4124,3690,1816,1874,6895,3148,3747,3527,1626,1901,20074,9380,10694,5623,2756,2867,39898,18994,20904,36282,17100,19182,32592,15284,17308,22170,10510,11660,4955,3634,3534,15357,0,6914,0,19742,0,0,0,0,0,0,RU,98,56,42,53,35,18,1,1,0,44,20,24,50436,24358,26078,115,61,54,114,101,43,28,52480,900,1,557,Lengua Indígena No Especificada,Huichol
Aguascalientes,Cosío,1004,1,4,129.74,0,54,Cosío,1021759,222204,1998,4898,2363,2535,15042,7326,7716,14062,6827,7235,13378,6482,6896,967,494,473,1033,520,513,3255,1625,1630,2539,1257,1282,1071,542,529,1934,909,1025,1079,500,579,5588,2652,2936,1181,579,602,10801,5203,5598,9774,4682,5092,8703,4140,4563,5690,2731,2959,863,786,2447,6048,4898,0,0,0,0,0,0,0,0,0,RU,17,8,9,8,4,4,0,0,0,9,4,5,13980,6777,7203,65,42,23,114,102,10,3,14211,544,0,92,Lengua Indígena No Especificada,Náhuatl
Aguascalientes,Jesús María,1005,1,5,505.14,0,235,Jesús María,1022036,215740,1880,43012,21189,21823,99590,49090,50500,92182,45287,46895,87244,42788,44456,7044,3624,3420,7377,3744,3633,21325,10805,10520,16376,8246,8130,6374,3258,3116,12343,5953,6390,7720,3627,4093,39311,18848,20463,5452,2679,2773,69970,34007,35963,63480,30738,32742,57106,27480,29626,37043,17900,19143,5540,4837,6428,14710,13474,0,11589,0,43012,0,0,0,0,0,MI,179,112,67,82,49,33,0,0,0,97,63,34,91632,44995,46637,371,180,191,114,26,101,28,93893,3480,82,1381,Lengua Indígena No Especificada,Mazahua
Aguascalientes,Pabellón de Arteaga,1006,1,6,197.93,0,186,Pabellón De Arteaga,1021642,220851,1914,28633,13763,14870,41862,20170,21692,38965,18728,20237,37066,17815,19251,2827,1408,1419,2840,1402,1438,8706,4334,4372,6678,3346,3332,2858,1426,1432,5619,2741,2878,3269,1507,1762,15909,7406,8503,3033,1419,1614,30172,14358,15814,27419,12992,14427,24561,11566,12995,15673,7318,8355,2831,1899,607,4897,2995,0,0,28633,0,0,0,0,0,0,UM,76,42,34,29,15,14,0,0,0,47,27,20,38747,18622,20125,142,64,78,114,102,42,14,39858,1352,16,400,Lengua Indígena No Especificada,Náhuatl
Aguascalientes,Rincón de Romos,1007,1,7,376.21,0,230,Rincón De Romos,1021921,221347,1952,27988,13562,14426,49156,24067,25089,45807,22370,23437,43482,21171,22311,3289,1668,1621,3521,1787,1734,10287,5243,5044,7950,4080,3870,3475,1791,1684,6571,3145,3426,3743,1717,2026,18379,8679,9700,3574,1725,1849,35293,17008,18285,31999,15340,16659,28524,13549,14975,18210,8687,9523,2729,721,6978,3634,7106,0,0,27988,0,0,0,0,0,0,UM,100,56,44,43,27,16,0,0,0,57,29,28,45557,22230,23327,150,84,66,114,26,41,39,47124,1189,3,419,Lengua Indígena No Especificada,Mazahua
Aguascalientes,San José de Gracia,1008,1,8,866.69,0,32,San José De Gracia,1022457,220854,2052,4927,2346,2581,8443,4043,4400,7813,3725,4088,7454,3546,3908,581,295,286,539,268,271,1779,860,919,1381,679,702,666,314,352,1078,516,562,602,272,330,2993,1389,1604,758,378,380,6071,2869,3202,5495,2597,2898,4829,2283,2546,3149,1495,1654,1021,435,0,2060,4927,0,0,0,0,0,0,0,0,0,SU,38,26,12,17,11,6,0,0,0,21,15,6,7748,3685,4063,27,14,13,114,101,20,15,8099,211,0,43,Lengua Indígena No Especificada,Huichol
Aguascalientes,Tepezalá,1009,1,9,232.07,0,91,Tepezalá,1021001,221322,2098,4511,2193,2318,19668,9600,10068,18306,8920,9386,17429,8459,8970,1357,677,680,1362,709,653,4228,2077,2151,3300,1613,1687,1425,712,713,2603,1261,1342,1416,654,762,7025,3324,3701,1663,837,826,14068,6760,7308,12716,6134,6582,11291,5422,5869,7272,3507,3765,1281,1825,5628,3078,7856,0,0,0,0,0,0,0,0,0,RU,49,27,22,3,3,0,0,0,0,46,24,22,18187,8859,9328,70,34,36,114,29,46,2,19064,362,7,136,Lengua Indígena No Especificada,Zapoteco
Aguascalientes,El Llano,1010,1,10,510.19,0,157,Palo Alto,1015755,215457,2031,5399,2679,2720,18828,9573,9255,17581,8914,8667,16731,8468,8263,1230,652,578,1297,701,596,3917,2036,1881,3067,1591,1476,1400,713,687,2402,1164,1238,1356,644,712,7098,3544,3554,1467,756,711,13646,6837,6809,12367,6177,6190,10967,5464,5503,7209,3656,3553,3324,2522,4347,3236,0,5399,0,0,0,0,0,0,0,0,RU,25,20,5,8,7,1,0,0,0,17,13,4,17493,8857,8636,63,37,26,114,102,16,4,17928,542,3,254,Lengua Indígena No Especificada,Náhuatl
Aguascalientes,San Francisco de los Romo,1011,1,11,139.09,0,92,San Francisco De Los Romo,1021613,220421,1893,16124,7828,8296,35769,17578,18191,32971,16131,16840,31119,15193,15926,2677,1387,1290,2797,1409,1388,7800,3925,3875,5948,3021,2927,2208,1110,1098,4393,2060,2333,3058,1420,1638,13807,6654,7153,1966,973,993,24721,11964,12757,22374,10797,11577,20166,9687,10479,12715,6207,6508,927,2726,3727,8766,3499,0,0,16124,0,0,0,0,0,0,MI,74,42,32,33,21,12,0,0,0,41,21,20,32809,16046,16763,88,43,45,114,102,39,13,33793,1235,13,465,Lengua Indígena No Especificada,Náhuatl
Baja California,Total del estado Baja California,2000,2,0,71715.43,5,4547,,,,0,0,0,0,3155070,1591610,1563460,2946853,1485928,1460925,2824411,1423574,1400837,170792,86813,83979,182211,92904,89307,548883,278819,270064,430199,218681,211518,179165,91131,88034,406509,205543,200966,265428,133546,131882,1414231,715727,698504,215854,101804,114050,2396702,1206136,1190566,2215759,1114205,1101554,2036594,1023074,1013520,1364657,683985,680672,61028,32472,55842,93854,83327,108583,50221,198544,70634,130042,0,279765,689775,1300983,MI,41731,21922,19809,33666,17851,15815,1558,523,1035,6507,3548,2959,2880974,1451183,1429791,24148,12823,11325,41,114,15562,4751,2274186,477090,4369,315144,Mixteco,Lengua Indígena No Especificada
Baja California,Ensenada,2001,2,1,53138.79,0,1709,Ensenada,1163621,315128,16,279765,139411,140354,466814,235130,231684,438589,220822,217767,420633,211673,208960,25379,12882,12497,26774,13680,13094,81690,41316,40374,64407,32691,31716,28032,14333,13699,63520,32452,31068,38230,19280,18950,202734,101585,101149,35839,17456,18383,357557,179748,177809,330125,165826,164299,302093,151493,150600,200343,99761,100582,21171,7489,13073,26959,37844,29807,11455,39251,0,0,0,279765,0,0,UG,23762,12051,11711,20821,10825,9996,1355,452,903,1586,774,812,412360,207536,204824,2467,1235,1232,41,29,10961,3243,306622,87534,618,62543,Mixteco,Zapoteco
Baja California,Mexicali,2002,2,2,15653.41,0,1650,Mexicali,1152804,323948,8,689775,346642,343133,936826,473203,463623,869579,439044,430535,834904,421392,413512,48305,24663,23642,51918,26512,25406,157543,80341,77202,123368,62986,60382,51494,26319,25175,116981,59740,57241,74970,38186,36784,417893,211654,206239,73750,34478,39272,711902,358570,353332,660118,332191,327927,608624,305872,302752,416673,207946,208727,23916,12551,25331,36912,21771,35713,12557,78300,0,0,0,0,689775,0,UG,4036,2331,1705,2487,1436,1051,25,9,16,1524,886,638,857177,432362,424815,8366,4351,4015,114,41,1385,542,690910,121167,934,89251,Lengua Indígena No Especificada,Mixteco
Baja California,Tecate,2003,2,3,2687.23,0,445,Tecate,1163825,323420,541,64764,32467,32297,101079,53323,47756,94874,50197,44677,90944,48183,42761,5482,2714,2768,5828,2986,2842,17833,9121,8712,14040,7160,6880,5925,3003,2922,12999,6887,6112,8543,4765,3778,45122,24594,20528,7167,3606,3561,77169,41130,36039,71213,38090,33123,65288,35087,30201,43746,23435,20311,5050,3811,585,11556,8709,6604,0,0,0,64764,0,0,0,0,UM,812,472,340,632,364,268,8,4,4,172,104,68,93561,49465,44096,501,260,241,114,103,134,122,65515,21036,67,11451,Lengua Indígena No Especificada,Purépecha
Baja California,Tijuana,2004,2,4,1234.74,0,536,Tijuana,1170237,323205,31,1300983,653241,647742,1559683,783653,776030,1461433,733795,727638,1399102,702087,697015,86944,44147,42797,92437,47036,45401,275800,139913,135887,215798,109434,106364,88444,44744,43700,201729,100872,100857,136554,67762,68792,710135,358172,351963,92888,43058,49830,1183567,592713,590854,1093196,546846,546350,1004752,502102,502650,666469,333468,333001,7341,7523,11623,13742,10082,30553,26209,80993,70634,0,0,0,0,1300983,ME,12124,6498,5626,8962,4793,4169,167,57,110,2995,1648,1347,1437832,721042,716790,11477,6255,5222,41,114,3827,2293,1152224,229821,2643,143454,Mixteco,Lengua Indígena No Especificada
Baja California,Playas de Rosarito,2005,2,5,500.34,0,207,Playas De Rosarito,1170322,322032,14,65278,33121,32157,90668,46301,44367,82378,42070,40308,78828,40239,38589,4682,2407,2275,5254,2690,2564,16017,8128,7889,12586,6410,6176,5270,2732,2538,11280,5592,5688,7131,3553,3578,38347,19722,18625,6210,3206,3004,66507,33975,32532,61107,31252,29855,55837,28520,27317,37426,19375,18051,3550,1098,5230,4685,4921,5906,0,0,0,65278,0,0,0,0,UM,997,570,427,764,433,331,3,1,2,230,136,94,80044,40778,39266,1337,722,615,103,114,276,161,58915,17532,107,8445,Purépecha,Lengua Indígena No Especificada
Baja California Sur,Total del estado Baja California Sur,3000,3,0,74601.74,5,2850,,,,0,0,0,0,637026,325433,311593,591301,302298,289003,566931,289911,277020,36388,18453,17935,36255,18424,17831,105829,53939,51890,81533,41592,39941,34715,17751,16964,81688,42252,39436,57525,29600,27925,290700,149036,141664,42114,20896,21218,483011,247210,235801,449217,229935,219282,414502,212184,202318,275289,140332,134957,28215,15172,18256,26665,11188,33551,61583,0,88967,138251,215178,0,0,0,MI,10792,6406,4386,9533,5692,3841,143,56,87,1116,658,458,577263,294126,283137,3246,1766,1480,102,41,3016,2214,517722,62460,663,40034,Náhuatl,Mixteco
Baja California Sur,Comondú,3001,3,1,18331.49,0,651,Ciudad Constitución,1114013,250156,57,40935,20918,20017,70816,36436,34380,66953,34430,32523,64382,33085,31297,3735,1940,1795,3982,2065,1917,12518,6468,6050,9711,5009,4702,4082,2111,1971,8145,4253,3892,5382,2823,2559,31809,16254,15555,6417,3279,3138,54613,28056,26557,50453,25897,24556,46371,23786,22585,32844,16710,16134,5035,3195,2741,4631,0,14279,0,0,40935,0,0,0,0,0,UM,828,532,296,720,469,251,29,11,18,79,52,27,65865,33773,32092,260,125,135,102,41,308,291,60638,6016,92,3159,Náhuatl,Mixteco
Baja California Sur,Mulegé,3002,3,2,32058.14,0,459,Santa Rosalía,1121601,272020,18,11765,5939,5826,59114,30617,28497,55199,28640,26559,52929,27500,25429,3473,1757,1716,3352,1665,1687,10517,5360,5157,8253,4219,4034,3624,1913,1711,7404,4013,3391,4859,2557,2302,25565,13247,12318,4737,2442,2295,44807,23365,21442,41330,21615,19715,37706,19702,18004,25443,13132,12311,4708,4501,5271,6421,6492,6902,24819,0,0,0,0,0,0,0,SU,3037,1797,1240,2782,1660,1122,44,19,25,211,118,93,51661,26582,25079,501,261,240,102,41,786,593,46900,6449,21,4668,Náhuatl,Mixteco
Baja California Sur,La Paz,3003,3,3,15833.13,0,1044,La Paz,1101839,240832,27,215178,106938,108240,251871,126397,125474,236013,118450,117563,227538,114090,113448,12501,6265,6236,12662,6479,6183,39039,19803,19236,30282,15343,14939,13707,7028,6679,32659,16760,15899,21172,10777,10395,117349,58502,58847,20597,9878,10719,197112,98654,98458,184312,92168,92144,170605,85140,85465,116774,57603,59171,9934,3474,4473,8968,4696,5148,0,0,0,0,215178,0,0,0,UG,2509,1547,962,2127,1338,789,45,13,32,337,196,141,232970,116618,116352,534,285,249,41,102,799,600,214242,19701,248,13331,Mixteco,Náhuatl
